Rollino Affineur,"Schärdinger, Landfrischmolkerei Wels",65%,Frisch / Weich,"Frischrahmige Frischkäsespezialität, spiralförmig mit feinen Kräutern durchzogen","Frisch, rahmig, mild, am Gaumen zart schmelzend","<img src=""KäseÖ_Rollino Affineur.jpg"" />","- Weißbier hell
- leichte spritzige Moste (Birnenmost)","Mineralwasser
- Aromatisiertes Mineralwasser
- Apfelsaft naturtrüb
- Molkedrinks
- Grüner Tee
- Alkoholfreies Bier","Säurebetonte, leichte, trockene spritzige, junge Weine:
- Grüner Veltliner
- Riesling
- Weißburgunder
- Gelber Muskatteller
- Roséweine
- Trockener Sekt
- Champagner","Österreich, Frisch, Weich"
Heumondkäse,"Woerle, Salzburg",45%,Schnitt,"Schnittkäsespezialität aus Heumilch, mit Zusatz von Buttermilch, Käsekaiser 2008","mild, frisch","<img src=""KäseÖ_Heumondkäse.jpg"" />",Märzenbier,"Fruchtsäfte, Mineralwasser Traubensaft , Molkedrinks, Früchtetees","trockene, tanninarme leichte Weiß- und Rotweine wie Riesling, St. Laurent, Zweigelt","Österreich, Schnitt"
Mondseer,"Schärdinger, Berglandmilch Wels",45%,Schnitt,"Weichschnittiger Schnittkäse aus Heumilch hergestellt, mit Schlitzlochung, Rotkulturreifung, Beta Carotin und Annato.","fein- würzig, kräftig- pikant, leicht säuerlich","<img src=""KäseÖ_Mondseer.jpg"" />",Lagerbier,"aromatisierte Mineralwasser, Traubensaft , Früchtetees","bukettreicher , extrareicher Weißwein wie Neuburger, Chardonnay oder kräftiger Rotwein wie Blaufränkisch","Österreich, Schnitt"
Zillertaler Zwerglkas,Sennerei Zillertal,45%,Schnitt,"aus Heumilch hergestellt, 3 Monate rotkulturgereifter Schnittkäse","vollmundig, aromatisch, rassig","<img src=""KäseÖ_Zillertaler Zwerglkas.jpg"" />","kräftige, resche Moste, Weizenbier, Bockbier","Molkedrinks, Milch, Fruchtsäfte, Traubensäfte","gehaltvoller, trockene Weißweine Sämling, Rotkipfler, Zinfandler samtige würzige Barrique- und Cuveéweine Merlot, St. Laurent, Blaufränkisch","Österreich, Schnitt"
Moosbacher,"Voitsberg, Schärdinger, Steiermark",45%,Schnitt,"Schnittkäse mit Doppelreifung, im traditionellen Leinentuch","angenehm süßlich würzig, leichte Rotkultur","<img src=""KäseÖ_Moosbacher.jpg"" />","Weizen Bier, Lagerlbier","alkoholfreies Bier, Mineralwasser, Fruchtsäfte, Traubensaft, Darjeeling Tee, Molkedrinks, Milch","Körperreiche, nicht zu elegante Weißweine trocken ausgebaut, nicht zu leicht im Alkohol, wie Neuburger, Rotgipfler, Sämling. Bei Rotweinen empfehlen sich vollmundige, samtige, würzige Rotweine wie St.Laurent, Barrique- und Cuvéeweine, halbtrockener Sekt, Champagner","Österreich, Schnitt"
Pinzgauer Bierkäse,Käsehof Salzburg,15%,Schnitt,"Schnittkäse aus silofreier Heumilch hergestellt, mit geschlossener Oberfläche, angetrockneter gelber bis rotbraunen Schmiere",leicht säuerlich bis kräftig würzig,"<img src=""KäseÖ_Pinzgauer Bierkäse.jpg"" />","Lagerbier, kräftiges Vollbier","aromatisierte Mineralwasser, Traubensaft , Früchtetees","Bukettreicher , extrareicher Weißwein wie Neuburger, Chardonnay oder kräftiger Rotwein wie Blaufränkisch","Österreich, Schnitt"
Zillertaler Edelschaf,Sennerei Zillertal,50%,Schnitt,"halbweicher Schnittkäse mit Rotkulturreifung, aus silofreier Heumilch hergestellt",würzig- vollmundig,"<img src=""KäseÖ_Zillertaler Edelschaf.jpg"" />","kräftige, resche Moste, Weizenbier, Bockbier","Molkedrinks, Milch, Fruchtsäfte, Traubensäfte","gehaltvoller, trockene Weißweine Sämling, Rotkipfler, Zinfandler samtige würzige Barrique- und Cuveéweine Merlot, St. Laurent, Blaufränkisch","Österreich, Schnitt"
Zillertaler Emmentaler,Sennerei Zillertal,45%,,"Foliengereifter Hartkäse aus silofreier Heumilch, 12 Wochen gereift",fein- nussig,"<img src=""KäseÖ_Zillertaler Emmentaler.jpg"" />",Märzenbier,"Fruchtsäfte, Mineralwasser Traubensaft, Molkedrinks, Früchtetees","trockene, tanninarme leichte Weiß- und Rotweine wie Riesling, St. Laurent, Zweigelt","Österreich, Hart"
Tiroler Felsenkeller,Tirol Milch,45%,,"Hartkäse mit Rotkulturreifung, aus silofreie Heumilch, sechs Monate im Felsenkeller bei Kundl gereift","kräftig, aromatisch, pikant","<img src=""KäseÖ_Tiroler Felsenkeller.jpg"" />","kräftige, resche Moste, Weizenbier, Bockbier","Molkedrinks, Milch, Fruchtsäfte, Traubensäfte","gehaltvoller, trockene Weißweine Sämling, Rotkipfler, Zinfandler samtige würzige Barrique- und Cuveéweine Merlot, St. Laurent, Blaufränkisch","Österreich, Hart"
"Le Rosé, Schärdinger","Voitsberg, Schärdinger, Steiermark",50%,Schnitt,"Hartkäse mit Lure behandelt, eine Mischung aus Steinfeder Rosé, Kräutern und Gewürzen, acht Monate gereift. Mit Natramezin behandelt, daher die Rinde ungenießbar.","elegant, würzig, langer Abgang","<img src=""KäseÖ_Le Rosé, Schärdinger.jpg"" />","Lagerbier, Weizen hell","Molkedrinks, Frucht- und Traubensaft, Mineralwasser, Früchtetees","gehaltvolle Weißweine mit wenig Säure wie Traminer, Neuburger, Steinfeder Rosé","Österreich, Schnitt"
Mölltaler Almkäse,Kärntenmilch,50%,,"Mild geräucherter Hartkäse. Gelblicher Teig mit goldbrauner, geräucherter Rinde (Kirschlochung)",,"<img src=""KäseÖ_Mölltaler Almkäse.jpg"" />",kräftiges Lagerbier,Traubensaft,"Weine passen eher nicht, am ehesten kräftige Weißweine","Österreich, Hart"
Vorarlberger Bergkäse D.O.P,Alma/ Vorarlberg,45%,,"6 Monate gereifter Hartkäse, aus Rohmilch hergestellt. Hellbraune Oberfläche, Erbsen- bis Kirschkern große Lochung des Teiges","kräftig- aromatisch, würzig","<img src=""KäseÖ_Vorarlberger Bergkäse D.O.P.jpg"" />",Lagebier,Traubensaft,"Kräftige Weißweine mit hohem Alkoholgehalt: Neuburger, grüner Veltliner Smaragd Rotweine: Merlot, Cabernet Sauvignon","Österreich, Hart"
Granformaggi,Salzburgmilch,35%,,"Parmesanähnlicher Hartkäse. Reift 4 bis 5 Monate in Lodi bei Mailand, feiner hartkörniger Teig","kräftig, leicht herb und bitter","<img src=""KäseÖ_Granformaggi.jpg"" />",,,"Kräftige Weißweine mit hohem Alkoholgehalt, oder Rotweine wie Merlot und Cabernet Sauvignon","Österreich, Hart"
Rotholzer Blauhudler,"Bundeslehranstalt Rotholz, Tirol",50%,"Schnitt, Edelpilz","Schnittkäse mit blauem Edelschimmel, Rinde mit Uhudler aus dem südl. Burgenland affinert","fein, weinwürzig","<img src=""KäseÖ_Rotholzer Blauhudler.jpg"" />","Mostcider, Mostsekt, Portwein","Molkedrinks, Milch, Fruchtsäfte, Traubensäfte","Süßweine: Trockenbeerauslese, Ausbruch, Eiswein, Bockbier, Stout, Guinnes","Schnitt, Österreich"
Dolce Bianca,"Gröbming, Schärdinger Steiermark",65%,Weich,"Weichkäse mit Doppelschimmelreifung. Außen weißer, samtiger Edelschimmel und innen im zarten hellen Teig feine Blauschimmeleinschlüsse","würzig, kräftig, vollmundig, championartig","<img src=""KäseÖ_Dolce Bianca.jpg"" />",,"Birnensaft, Apfelsaft (süß), aromatische dunkle malzige Biere","Leicht süßliche extrareiche Weißweine: Sämling, Spätlese","Österreich, Weich"
Zillertaler Graukäse Premium,Sennerei Zillertal,2%,Grau,12 Wochen kaltgereifter Sauermagermilchkäse mit grünblauem Edelschimmel,"säuerlich, pikant","<img src=""KäseÖ_Zillertaler Graukäse Premium.jpg"" />","Bockbier, stark aromatisches Bier, Weißbier kräftiger Most, Schnaps","Milch, Mineralwasser",,Grau
