Name,Hersteller,F.i.T.,Käseart,Beschreibung,Geschmack,Foto,Alk. Getränkeempfehlung,AF Getränkeempfehlung,Weinempfehlung,Tags
Roter Mönch mit Birne,"Steinach, Schärdinger Steiermark",55%,Weich,Weichkäse mit Rotkulturreifung und Birnencuvée Edelbrand der Brennerei Jöbstl (STMK) veredelt,"cremig, würzig, bis kräftig-aromatisch, mit zartem Birnenaroma","<img src=""KäseÖ_Roter Mönch mit Birne.jpg"" />","Edelbrand, Lagerbier, Weizenbier","Emotion Birne- Melisse, Birnensaft","Gehaltvolle Weißweine wie Weißburgunder, Morillon, Riesling oder reife kräftige Rotweine wie Pinot Noir, Cabernet Sauvignon, Jöbstl Birnencuvée","Österreich, Weich, Weiße Edelschimmel, Rotkultur, Affiniert, Kuh"
Heumondkäse,"Woerle, Salzburg",45%,Schnitt,"Schnittkäsespezialität aus Heumilch, mit Zusatz von Buttermilch, Käsekaiser 2008","mild, frisch","<img src=""KäseÖ_Heumondkäse.jpg"" />",Märzenbier,"Fruchtsäfte, Mineralwasser Traubensaft , Molkedrinks, Früchtetees","Trockene, tanninarme leichte Weiß- und Rotweine wie Riesling, St. Laurent, Zweigelt","Österreich, Schnitt, Kuh"
Mondseer,"Schärdinger, Berglandmilch Wels",45%,Schnitt,"Weichschnittiger Schnittkäse aus Heumilch hergestellt, mit Schlitzlochung, Rotkulturreifung, Beta Carotin und Annato.","fein-würzig, kräftig- pikant, leicht säuerlich","<img src=""KäseÖ_Mondseer.jpg"" />",Lagerbier,"Aromatisierte Mineralwasser, Traubensaft , Früchtetees","Bukettreicher, extrareicher Weißwein wie Neuburger, Chardonnay oder kräftiger Rotwein wie Blaufränkisch","Österreich, Schnitt, Affiniert, Rotkultur, Kuh"
Zillertaler Zwerglkas,Sennerei Zillertal,45%,Schnitt,"aus Heumilch hergestellt, 3 Monate rotkulturgereifter Schnittkäse","vollmundig, aromatisch, rassig","<img src=""KäseÖ_Zillertaler Zwerglkas.jpg"" />","Kräftige, resche Moste, Weizenbier, Bockbier","Molkedrinks, Milch, Fruchtsäfte, Traubensäfte","Gehaltvoller, trockene Weißweine Sämling, Rotkipfler, Zinfandler samtige würzige Barrique- und Cuveéweine Merlot, St. Laurent, Blaufränkisch","Österreich, Schnitt, Rotkultur, Kuh"
Moosbacher,"Voitsberg, Schärdinger, Steiermark",45%,Schnitt,"Schnittkäse mit Doppelreifung, im traditionellen Leinentuch","angenehm süßlich würzig, leichte Rotkultur","<img src=""KäseÖ_Moosbacher.jpg"" />","Weizen Bier, Lagerlbier","Alkoholfreies Bier, Mineralwasser, Fruchtsäfte, Traubensaft, Darjeeling Tee, Molkedrinks, Milch","Körperreiche, nicht zu elegante Weißweine trocken ausgebaut, nicht zu leicht im Alkohol, wie Neuburger, Rotgipfler, Sämling. Bei Rotweinen empfehlen sich vollmundige, samtige, würzige Rotweine wie St.Laurent, Barrique- und Cuvéeweine, halbtrockener Sekt, Champagner","Österreich, Schnitt, Rotkultur, Propionsäurereifung, Kuh"
Pinzgauer Bierkäse,Käsehof Salzburg,15%,Schnitt,"Schnittkäse aus silofreier Heumilch hergestellt, mit geschlossener Oberfläche, angetrockneter gelber bis rotbraunen Schmiere",leicht säuerlich bis kräftig würzig,"<img src=""KäseÖ_Pinzgauer Bierkäse.jpg"" />","Lagerbier, kräftiges Vollbier","Aromatisierte Mineralwasser, Traubensaft , Früchtetees","Bukettreicher, extrareicher Weißwein wie Neuburger, Chardonnay oder kräftiger Rotwein wie Blaufränkisch","Österreich, Schnitt, Affiniert, Rotkultur, Kuh"
Zillertaler Edelschaf,Sennerei Zillertal,50%,Schnitt,"halbweicher Schnittkäse mit Rotkulturreifung, aus silofreier Heumilch hergestellt",würzig-vollmundig,"<img src=""KäseÖ_Zillertaler Edelschaf.jpg"" />","Kräftige, resche Moste, Weizenbier, Bockbier","Molkedrinks, Milch, Fruchtsäfte, Traubensäfte","Gehaltvoller, trockene Weißweine Sämling, Rotkipfler, Zinfandler samtige würzige Barrique- und Cuveéweine Merlot, St. Laurent, Blaufränkisch","Österreich, Schnitt, Rotkultur, Schaf"
Zillertaler Emmentaler,Sennerei Zillertal,45%,Hart,"Foliengereifter Hartkäse aus silofreier Heumilch, 12 Wochen gereift",fein-nussig,"<img src=""KäseÖ_Zillertaler Emmentaler.jpg"" />",Märzenbier,"Fruchtsäfte, Mineralwasser Traubensaft, Molkedrinks, Früchtetees","Trockene, tanninarme leichte Weiß- und Rotweine wie Riesling, St. Laurent, Zweigelt","Österreich, Hart, Kuh, Propionsäurereifung"
Tiroler Felsenkeller,Tirol Milch,45%,Hart,"Hartkäse mit Rotkulturreifung, aus silofreie Heumilch, sechs Monate im Felsenkeller bei Kundl gereift","kräftig, aromatisch, pikant","<img src=""KäseÖ_Tiroler Felsenkeller.jpg"" />","Kräftige, resche Moste, Weizenbier, Bockbier","Molkedrinks, Milch, Fruchtsäfte, Traubensäfte","Gehaltvoller, trockene Weißweine Sämling, Rotkipfler, Zinfandler
- samtige würzige Barrique- und Cuveéweine Merlot, St. Laurent, Blaufränkisch","Österreich, Hart, Rotkultur, Kuh"
"Le Rosé, Schärdinger","Voitsberg, Schärdinger, Steiermark",50%,Hart,"Hartkäse mit Lure behandelt, eine Mischung aus Steinfeder Rosé, Kräutern und Gewürzen, acht Monate gereift. Mit Natramezin behandelt, daher die Rinde ungenießbar.","elegant, würzig, langer Abgang","<img src=""KäseÖ_Le Rosé, Schärdinger.jpg"" />","Lagerbier, Weizen hell","Molkedrinks, Frucht- und Traubensaft, Mineralwasser, Früchtetees","Gehaltvolle Weißweine mit wenig Säure wie Traminer, Neuburger, Steinfeder Rosé","Österreich, Hart, Affiniert, Rotkultur, Kuh"
Mölltaler Almkäse,Kärntenmilch,50%,Hart,"Mild geräucherter Hartkäse. Gelblicher Teig mit goldbrauner, geräucherter Rinde (Kirschlochung)","mild, geräuchert","<img src=""KäseÖ_Mölltaler Almkäse.jpg"" />",Kräftiges Lagerbier,Traubensaft,"Weine passen eher nicht, am ehesten kräftige Weißweine","Österreich, Hart, Kuh, Rotkultur"
Vorarlberger Bergkäse D.O.P,Alma/ Vorarlberg,45%,Hart,"6 Monate gereifter Hartkäse, aus Rohmilch hergestellt. Hellbraune Oberfläche, Erbsen- bis Kirschkern große Lochung des Teiges","kräftig-aromatisch, würzig","<img src=""KäseÖ_Vorarlberger Bergkäse D.O.P.jpg"" />",Lagebier,Traubensaft,"Kräftige Weißweine mit hohem Alkoholgehalt: Neuburger, grüner Veltliner Smaragd Rotweine: Merlot, Cabernet Sauvignon","Österreich, Hart, Rotkultur, Kuh"
Granformaggi,Salzburgmilch,35%,Hart,"Parmesanähnlicher Hartkäse. Reift 4 bis 5 Monate in Lodi bei Mailand, feiner hartkörniger Teig","kräftig, leicht herb und bitter","<img src=""KäseÖ_Granformaggi.jpg"" />","Bockbier, kräftige Moste",Traubensaft,Kräftige Weißweine mit hohem Alkoholgehalt oder Rotweine wie Merlot und Cabernet Sauvignon,"Österreich, Hart, Rotkultur, Kuh"
Rotholzer Blauhudler,"Bundeslehranstalt Rotholz, Tirol",50%,"Schnitt, Edelpilz","Schnittkäse mit blauem Edelschimmel, Rinde mit Uhudler aus dem südl. Burgenland affinert","fein, weinwürzig","<img src=""KäseÖ_Rotholzer Blauhudler.jpg"" />","Mostcider, Mostsekt, Portwein","Molkedrinks, Milch, Fruchtsäfte, Traubensäfte","Süßweine: Trockenbeerauslese, Ausbruch, Eiswein, Bockbier, Stout, Guinnes","Schnitt, Österreich, Kuh, Blaue Edelschimmel, Rotkultur"
Dolce Bianca,"Gröbming, Schärdinger Steiermark",65%,Weich,"Weichkäse mit Doppelschimmelreifung. Außen weißer, samtiger Edelschimmel und innen im zarten hellen Teig feine Blauschimmeleinschlüsse","würzig, kräftig, vollmundig, championartig","<img src=""KäseÖ_Dolce Bianca.jpg"" />",Weizenbier,"Birnensaft, Apfelsaft (süß), aromatische dunkle malzige Biere","Leicht süßliche extrareiche Weißweine: Sämling, Spätlese","Österreich, Weich, Weiße Edelschimmel, Blaue Edelschimmel, Kuh"
Zillertaler Graukäse Premium,Sennerei Zillertal,2%,Grau,12 Wochen kaltgereifter Sauermagermilchkäse mit grünblauem Edelschimmel,"säuerlich, pikant","<img src=""KäseÖ_Zillertaler Graukäse Premium.jpg"" />","Bockbier, stark aromatisches Bier, Weißbier kräftiger Most, Schnaps","Milch, Mineralwasser","Grüner Veltliner, Riesling","Grau, Kuh"
